"id_pet";"cycles"
1020760935;3
1020757515;3
1020757516;3
1020757519;3
1020757520;3
1020757527;3
1020757528;3
1020757531;3
1020757533;3
1020757540;3
1020757541;3
1020757558;3
1020757559;3
1020757560;3
1020757561;3
1020757562;3
1020757572;3
1020757573;3
1020757574;3
1020757575;3
1020757579;3
1020757580;3
1020757581;3
1020757582;3
1020757584;3
1020757598;3
1020757609;3
1020757610;3
1020757611;3
1020757612;3
1020757613;3
1020757614;3
1020757615;3
1020757625;3
1020757626;3
1020757627;3
1020757628;3
1020757629;3
1020757631;3
1020757642;3
1020757644;3
1020757645;3
1020757647;3
1020757648;3
1020757649;3
1020757650;3
1020757651;3
1020757652;3
1020757653;3
1020757654;3
1020757655;3
1020757656;3
1020757657;3
1020757658;3
1020757659;3
1020757660;3
1020757661;3
1020757662;3
1020757664;3
1020757670;3
1020757672;3
1020757677;3
1020757678;3
1020757684;3
1020757685;3
1020757687;3
1020757688;3
1020757689;3
1020757693;3
1020757695;3
1020757697;3
1020757701;3
1020757703;3
1020757707;3
1020757708;3
1020757712;3
1020757713;3
1020757714;3
1020757715;3
1020757716;3
1020757717;3
1020757722;3
1020757723;3
1020757726;3
1020757731;3
1020757734;3
1020757742;3
1020757744;3
1020757747;3
1020757752;3
1020757753;3
1020757757;3
1020757758;3
1020757759;3
1020757761;3
1020757763;3
1020757764;3
1020757765;3
1020757769;3
1020757770;3
1020757771;3
1020757786;3
1020757795;3
1020757796;3
1020757797;3
1020757798;3
1020757800;3
1020757806;3
1020757807;3
1020757809;3
1020757815;3
1020757816;3
1020757817;3
1020757823;3
1020757824;3
1020757828;3
1020757833;3
1020757834;3
1020757835;3
1020757837;3
1020757838;3
1020757841;3
1020757842;3
1020757843;3
1020757847;3
1020757855;3
1020757861;3
1020757865;3
1020757867;3
1020757868;3
1020757869;3
1020757870;3
1020757871;3
1020757873;3
1020757874;3
1020757879;3
1020757881;3
1020757886;3
1020757890;3
1020757891;3
1020757892;3
1020757893;3
1020757898;3
1020757899;3
1020757902;3
1020757903;3
1020757905;3
1020757906;3
1020757908;3
1020757917;3
1020757918;3
1020757922;3
1020757923;3
1020757924;3
1020757925;3
1020757926;3
1020757928;3
1020757939;3
1020757940;3
1020757941;3
1020757945;3
1020757946;3
1020757947;3
1020757950;3
1020757951;3
1020757952;3
1020757954;3
1020757955;3
1020757957;3
1020757964;3
1020757982;3
1020757983;3
1020757986;3
1020757987;3
1020757993;3
1020758000;3
1020758013;3
1020758025;3
1020758026;3
1020758027;3
1020758036;3
1020758042;3
1020758046;3
